question,question_short,key
"If there were a UK General Election tomorrow to elect MPs to Westminster, which of the following parties do you think you would vote for or would you vote for another party?/If it were a legal requirement for you to vote, which of the following parties do you think you would vote for or would you vote for another party?","If UK General Election tomorrow to elect MPs to Westminster, which of following parties think would vote or would vote another party?/If legal requirement to vote, which of fo",12
"At the UK General Election that took on the 12th December 2019, 67% of people voted and 33% of people did not. Did you, or did you not vote in the 2019 UK General Election?","At UK General Election took on 12th December 2019, 67% of people voted 33% of people did not. Did you, or did not vote in 2019 UK General Election?",13
"Thinking back to the UK General Election that took on the 12th December 2019, which of the following parties did you vote for, or did you vote for another party?","Thinking back to UK General Election took on 12th December 2019, which of following parties did vote for, or did vote another party?",14
"Thinking of how you said earlier that you'd vote if a General Election were tomorrow, how likely, or unlikely, is it that you'll change your mind between now and when the next election is actually held?","Thinking of how said earlier you'd vote General Election tomorrow, how likely, or unlikely, is you'll change your mind between now when next election is actually held?",15
Which of the following politicians do you think would make the best Prime Minister?,Which of following politicians think would make best Prime Minister?,16
"Irrespective of how you think you might vote at the next General Election, which of the following do you think is the most likely outcome?","Irrespective of how think might vote at next General Election, which of following think is most likely outcome?",17
You said earlier that you voted for the Conservative Party at the 2019 General Election but would vote Labour if there were an election tomorrow. Which of the following best describes the reason for your vote?,You said earlier voted Conservative Party at 2019 General Election but would vote Labour an election tomorrow. Which of following best describes reason your vote?,18
You said earlier that you voted for the Conservative Party at the 2019 General Election but would vote Reform UK if there were an election tomorrow. Which of the following best describes the reason for your vote?,You said earlier voted Conservative Party at 2019 General Election but would vote Reform UK an election tomorrow. Which of following best describes reason your vote?,19
You said earlier that you voted for the Conservative Party at the 2019 General Election but would vote for a different party or are undecided if there were an election tomorrow. Which of these is closest to your view?,You said earlier voted Conservative Party at 2019 General Election but would vote different party or are undecided an election tomorrow. Which of these is closest to your view,20
Sum: Conservative Party: Which of the following political parties do you think has the best plan for each of the following?,Sum: Conservative Party: Which of following political parties think best plan each of following?,21
Sum: Labour Party: Which of the following political parties do you think has the best plan for each of the following?,Sum: Labour Party: Which of following political parties think best plan each of following?,22
Manage the economy: Which of the following political parties do you think has the best plan for each of the following?,Manage economy: Which of following political parties think best plan each of following?,23
Cut taxes for working people: Which of the following political parties do you think has the best plan for each of the following?,Cut taxes working people: Which of following political parties think best plan each of following?,24
Stop small boat crossings: Which of the following political parties do you think has the best plan for each of the following?,Stop small boat crossings: Which of following political parties think best plan each of following?,25
Represent the UK on the global stage: Which of the following political parties do you think has the best plan for each of the following?,Represent UK on global stage: Which of following political parties think best plan each of following?,26
Improve the NHS: Which of the following political parties do you think has the best plan for each of the following?,Improve NHS: Which of following political parties think best plan each of following?,27
Manage the transition to Net Zero: Which of the following political parties do you think has the best plan for each of the following?,Manage transition to Net Zero: Which of following political parties think best plan each of following?,28
"Thinking about Rishi Sunak, which of these statements best applies to him?","Thinking about Rishi Sunak, which of these statements best applies to him?",29
"Thinking about Keir Starmer, which of these statements best applies to him?","Thinking about Keir Starmer, which of these statements best applies to him?",30
"Thinking about the Conservative Party, which of these statements best apply?","Thinking about Conservative Party, which of these statements best apply?",31
"Thinking about the Labour Party, which of these statements best apply?","Thinking about Labour Party, which of these statements best apply?",32
"Sum: Read: How often on average, do you read each of the following newspapers?","Sum: Read: How often on average, read each of following newspapers?",33
"Sum: Read at least once a week: How often on average, do you read each of the following newspapers?","Sum: Read at least once week: How often on average, read each of following newspapers?",34
"Sum: Read at least once a month: How often on average, do you read each of the following newspapers?","Sum: Read at least once month: How often on average, read each of following newspapers?",35
"The Sun/ Sun on Sunday: How often on average, do you read each of the following newspapers?","The Sun/ Sun on Sunday: How often on average, read each of following newspapers?",36
"The Daily Telegraph/ The Sunday Telegraph: How often on average, do you read each of the following newspapers?","The Daily Telegraph/ The Sunday Telegraph: How often on average, read each of following newspapers?",37
"The Times/ The Sunday Times: How often on average, do you read each of the following newspapers?","The Times/ The Sunday Times: How often on average, read each of following newspapers?",38
"The Daily Star/ Daily Star Sunday: How often on average, do you read each of the following newspapers?","The Daily Star/ Daily Star Sunday: How often on average, read each of following newspapers?",39
"The Guardian: How often on average, do you read each of the following newspapers?","The Guardian: How often on average, read each of following newspapers?",40
"The Observer: How often on average, do you read each of the following newspapers?","The Observer: How often on average, read each of following newspapers?",41
"The Independent/ The Independent on Sunday: How often on average, do you read each of the following newspapers?","The Independent/ The Independent on Sunday: How often on average, read each of following newspapers?",42
"The Mirror/ Sunday Mirror: How often on average, do you read each of the following newspapers?","The Mirror/ Sunday Mirror: How often on average, read each of following newspapers?",43
"Financial Times/ FT Weekend: How often on average, do you read each of the following newspapers?","Financial Times/ FT Weekend: How often on average, read each of following newspapers?",44
"Daily Mail/ Mail on Sunday: How often on average, do you read each of the following newspapers?","Daily Mail/ Mail on Sunday: How often on average, read each of following newspapers?",45
"Sum: Read: How often on average, do you visit each of the following news sites?","Sum: Read: How often on average, visit each of following news sites?",46
"Sum: Read at least once a week: How often on average, do you visit each of the following news sites?","Sum: Read at least once week: How often on average, visit each of following news sites?",47
"Sum: Read at least once a month: How often on average, do you visit each of the following news sites?","Sum: Read at least once month: How often on average, visit each of following news sites?",48
"TheSun.co.uk: How often on average, do you visit each of the following news sites?","TheSun.co.uk: How often on average, visit each of following news sites?",49
"Telegraph.co.uk: How often on average, do you visit each of the following news sites?","Telegraph.co.uk: How often on average, visit each of following news sites?",50
"Thetimes.co.uk: How often on average, do you visit each of the following news sites?","Thetimes.co.uk: How often on average, visit each of following news sites?",51
"Dailystar.co.uk: How often on average, do you visit each of the following news sites?","Dailystar.co.uk: How often on average, visit each of following news sites?",52
"Theguardian.com: How often on average, do you visit each of the following news sites?","Theguardian.com: How often on average, visit each of following news sites?",53
"Independent.co.uk: How often on average, do you visit each of the following news sites?","Independent.co.uk: How often on average, visit each of following news sites?",54
"inews.co.uk: How often on average, do you visit each of the following news sites?","inews.co.uk: How often on average, visit each of following news sites?",55
"mirror.co.uk: How often on average, do you visit each of the following news sites?","mirror.co.uk: How often on average, visit each of following news sites?",56
"ft.com: How often on average, do you visit each of the following news sites?","ft.com: How often on average, visit each of following news sites?",57
"Dailymail.co.uk: How often on average, do you visit each of the following news sites?","Dailymail.co.uk: How often on average, visit each of following news sites?",58
"BBC News: How often on average, do you visit each of the following news sites?","BBC News: How often on average, visit each of following news sites?",59
"Channel 4 News: How often on average, do you visit each of the following news sites?","Channel 4 News: How often on average, visit each of following news sites?",60
"Sky News: How often on average, do you visit each of the following news sites?","Sky News: How often on average, visit each of following news sites?",61
"CNN: How often on average, do you visit each of the following news sites?","CNN: How often on average, visit each of following news sites?",62
"Huffington Post: How often on average, do you visit each of the following news sites?","Huffington Post: How often on average, visit each of following news sites?",63
"Buzzfeed.com: How often on average, do you visit each of the following news sites?","Buzzfeed.com: How often on average, visit each of following news sites?",64
Sum: Advocates: How would you describe your overall opinion of the brands below compared to other news/media brands?,Sum: Advocates: How would describe your overall opinion of brands below compared to other news/media brands?,65
"Sum: Rejectors: How often on average, do you visit each of the following news sites?","Sum: Rejectors: How often on average, visit each of following news sites?",66
The Sun: How would you describe your overall opinion of the brands below compared to other news/media brands?,The Sun: How would describe your overall opinion of brands below compared to other news/media brands?,67
The Daily Mail: How would you describe your overall opinion of the brands below compared to other news/media brands?,The Daily Mail: How would describe your overall opinion of brands below compared to other news/media brands?,68
Mail Online: How would you describe your overall opinion of the brands below compared to other news/media brands?,Mail Online: How would describe your overall opinion of brands below compared to other news/media brands?,69
Daily Express: How would you describe your overall opinion of the brands below compared to other news/media brands?,Daily Express: How would describe your overall opinion of brands below compared to other news/media brands?,70
The Mirror: How would you describe your overall opinion of the brands below compared to other news/media brands?,The Mirror: How would describe your overall opinion of brands below compared to other news/media brands?,71
Daily Star: How would you describe your overall opinion of the brands below compared to other news/media brands?,Daily Star: How would describe your overall opinion of brands below compared to other news/media brands?,72
You mentioned that you read The Sun and/or TheSun.co.uk. Which of these topics do you read or look at in The Sun/on TheSun.co.uk?,You mentioned read The Sun and/or TheSun.co.uk. Which of these topics read or look at in The Sun/on TheSun.co.uk?,73
You mentioned that you read about politics in The Sun or on TheSun.co.uk. How often does the political content you read reflect your own personal views?,You mentioned read about politics in The Sun or on TheSun.co.uk. How often does political content read reflect your own personal views?,74
How do you identify?,How identify?,75
How old are you?,How old are you?,76
Where do you live?,Where live?,77
Please indicate which one of the following best describes the profession of the chief income earner in your household.,Please indicate which one of following best describes profession of chief income earner in your household.,78
Is the house or flat in which you live...?,Is house or flat in which live...?,79
Which of the following best describes your work status before March 2020 (pre-Covid 19)?,Which of following best describes your work status before March 2020 (pre-Covid 19)?,80
How many cars are there in your household?,How many cars are in your household?,81
Have you taken a foreign holiday in the last 3 years?,Have taken foreign holiday in last 3 years?,82
The government in general: To what extent do you feel favourably or unfavourably towards each of the following?,The government in general: To extent feel favourably or unfavourably towards each of following?,83
Boris Johnson: To what extent do you feel favourably or unfavourably towards each of the following?,Boris Johnson: To extent feel favourably or unfavourably towards each of following?,84
Keir Starmer: To what extent do you feel favourably or unfavourably towards each of the following?,Keir Starmer: To extent feel favourably or unfavourably towards each of following?,85
Rishi Sunak: To what extent do you feel favourably or unfavourably towards each of the following?,Rishi Sunak: To extent feel favourably or unfavourably towards each of following?,86
Ed Davey: To what extent do you feel favourably or unfavourably towards each of the following?,Ed Davey: To extent feel favourably or unfavourably towards each of following?,87
Liz Truss: To what extent do you feel favourably or unfavourably towards each of the following?,Liz Truss: To extent feel favourably or unfavourably towards each of following?,88
James Cleverly: To what extent do you feel favourably or unfavourably towards each of the following?,James Cleverly: To extent feel favourably or unfavourably towards each of following?,89
Suella Braverman: To what extent do you feel favourably or unfavourably towards each of the following?,Suella Braverman: To extent feel favourably or unfavourably towards each of following?,90
Ben Wallace: To what extent do you feel favourably or unfavourably towards each of the following?,Ben Wallace: To extent feel favourably or unfavourably towards each of following?,91
Jeremy Hunt: To what extent do you feel favourably or unfavourably towards each of the following?,Jeremy Hunt: To extent feel favourably or unfavourably towards each of following?,92
David Cameron: To what extent do you feel favourably or unfavourably towards each of the following?,David Cameron: To extent feel favourably or unfavourably towards each of following?,93
Nigel Farage: To what extent do you feel favourably or unfavourably towards each of the following?,Nigel Farage: To extent feel favourably or unfavourably towards each of following?,94
Donald Trump: To what extent do you feel favourably or unfavourably towards each of the following?,Donald Trump: To extent feel favourably or unfavourably towards each of following?,95
Joe Biden: To what extent do you feel favourably or unfavourably towards each of the following?,Joe Biden: To extent feel favourably or unfavourably towards each of following?,96
"Keir Starmer: Thinking about each of the following characteristics some people may say about politicians, do you think they apply to each of these?","Keir Starmer: Thinking about each of following characteristics some people may say about politicians, think they apply to each of these?",97
"Ed Davey: Thinking about each of the following characteristics some people may say about politicians, do you think they apply to each of these?","Ed Davey: Thinking about each of following characteristics some people may say about politicians, think they apply to each of these?",98
"Rishi Sunak: Thinking about each of the following characteristics some people may say about politicians, do you think they apply to each of these?","Rishi Sunak: Thinking about each of following characteristics some people may say about politicians, think they apply to each of these?",99
"Thinking about Rishi Sunak and his policies, which of the following statements is closest to your view?","Thinking about Rishi Sunak his policies, which of following statements is closest to your view?",100
"Thinking about Keir Starmer and his policies, which of the following statements is closest to your view?","Thinking about Keir Starmer his policies, which of following statements is closest to your view?",101
"Thinking about Rishi Sunak and the Conservative Party, which of the following statements is closest to your view?","Thinking about Rishi Sunak Conservative Party, which of following statements is closest to your view?",102
"Thinking about Keir Starmer and the Labour Party, which of the following statements is closest to your view?","Thinking about Keir Starmer Labour Party, which of following statements is closest to your view?",103
"Conservative Party: Thinking about each of the following characteristics some people may say about political parties, do you think they apply to each of these parties?","Conservative Party: Thinking about each of following characteristics some people may say about political parties, think they apply to each of these parties?",104
"Labour Party: Thinking about each of the following characteristics some people may say about political parties, do you think they apply to each of these parties?","Labour Party: Thinking about each of following characteristics some people may say about political parties, think they apply to each of these parties?",105
"Liberal Democrats: Thinking about each of the following characteristics some people may say about political parties, do you think they apply to each of these parties?","Liberal Democrats: Thinking about each of following characteristics some people may say about political parties, think they apply to each of these parties?",106
"The economy: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?","The economy: To extent think each of following will get better or worse over course of next 12 months, or will they stay same?",107
"The National Health Service (NHS): To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?","The National Health Service (NHS): To extent think each of following will get better or worse over course of next 12 months, or will they stay same?",108
"The education system: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?","The education system: To extent think each of following will get better or worse over course of next 12 months, or will they stay same?",109
"Your personal finances: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?","Your personal finances: To extent think each of following will get better or worse over course of next 12 months, or will they stay same?",110
"Your physical health: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?","Your physical health: To extent think each of following will get better or worse over course of next 12 months, or will they stay same?",111
"Your mental health: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?","Your mental health: To extent think each of following will get better or worse over course of next 12 months, or will they stay same?",112
Attended a protest or rally: Which of the following have you ever done?,Attended protest or rally: Which of following have ever done?,113
Become a member of a political party: Which of the following have you ever done?,Become member of political party: Which of following have ever done?,114
Become a member of a trade union: Which of the following have you ever done?,Become member of trade union: Which of following have ever done?,115
Signed an online or physical petition: Which of the following have you ever done?,Signed an online or physical petition: Which of following have ever done?,116
Joined a local or national campaign group: Which of the following have you ever done?,Joined local or national campaign group: Which of following have ever done?,117
"Homophobia: To what extent do you think that each of these are, or are not, a problem in the UK?","Homophobia: To extent think each of these are, or are not, problem in UK?",118
"Biphobia: To what extent do you think that each of these are, or are not, a problem in the UK?","Biphobia: To extent think each of these are, or are not, problem in UK?",119
"Transphobia: To what extent do you think that each of these are, or are not, a problem in the UK?","Transphobia: To extent think each of these are, or are not, problem in UK?",120
"Racism: To what extent do you think that each of these are, or are not, a problem in the UK?","Racism: To extent think each of these are, or are not, problem in UK?",121
"Sexism: To what extent do you think that each of these are, or are not, a problem in the UK?","Sexism: To extent think each of these are, or are not, problem in UK?",122
"Ableism: To what extent do you think that each of these are, or are not, a problem in the UK?","Ableism: To extent think each of these are, or are not, problem in UK?",123
"Ageism: To what extent do you think that each of these are, or are not, a problem in the UK?","Ageism: To extent think each of these are, or are not, problem in UK?",124
"Antisemitism: To what extent do you think that each of these are, or are not, a problem in the UK?","Antisemitism: To extent think each of these are, or are not, problem in UK?",125
"Islamophobia: To what extent do you think that each of these are, or are not, a problem in the UK?","Islamophobia: To extent think each of these are, or are not, problem in UK?",126
"Class discrimination: To what extent do you think that each of these are, or are not, a problem in the UK?","Class discrimination: To extent think each of these are, or are not, problem in UK?",127
Repay £5 you've lent them: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,Repay £5 you've lent them: Please select whether trust Rishi Sunak or Keir Starmer more to each of following actions.,128
Lend you £5 when you need it: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,Lend £5 when need it: Please select whether trust Rishi Sunak or Keir Starmer more to each of following actions.,129
Look after your home while you are away: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,Look after your home while are away: Please select whether trust Rishi Sunak or Keir Starmer more to each of following actions.,130
Cook a good meal: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,Cook good meal: Please select whether trust Rishi Sunak or Keir Starmer more to each of following actions.,131
Buy a round for their friends at the pub: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,Buy round their friends at pub: Please select whether trust Rishi Sunak or Keir Starmer more to each of following actions.,132
Tip their server: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,Tip their server: Please select whether trust Rishi Sunak or Keir Starmer more to each of following actions.,133
Give impartial advice: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,Give impartial advice: Please select whether trust Rishi Sunak or Keir Starmer more to each of following actions.,134
Assemble flat-pack furniture: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,Assemble flat-pack furniture: Please select whether trust Rishi Sunak or Keir Starmer more to each of following actions.,135
Cut the food you are sharing equally in half: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,Cut food are sharing equally in half: Please select whether trust Rishi Sunak or Keir Starmer more to each of following actions.,136
Organise a fun night out: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,Organise fun night out: Please select whether trust Rishi Sunak or Keir Starmer more to each of following actions.,137
Healthcare: To what extent are you optimistic or pessimistic about the following issues in YYYY?,Healthcare: To extent are optimistic or pessimistic about following issues in YYYY?,138
Your financial situation: To what extent are you optimistic or pessimistic about the following issues in YYYY?,Your financial situation: To extent are optimistic or pessimistic about following issues in YYYY?,139
Employment: To what extent are you optimistic or pessimistic about the following issues in YYYY?,Employment: To extent are optimistic or pessimistic about following issues in YYYY?,140
The economy: To what extent are you optimistic or pessimistic about the following issues in YYYY?,The economy: To extent are optimistic or pessimistic about following issues in YYYY?,141
Going on holiday abroad: To what extent are you optimistic or pessimistic about the following issues in YYYY?,Going on holiday abroad: To extent are optimistic or pessimistic about following issues in YYYY?,142
Your local area: To what extent are you optimistic or pessimistic about the following issues in YYYY?,Your local area: To extent are optimistic or pessimistic about following issues in YYYY?,143
SUMMARY - (Sum: Acceptable): To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?,SUMMARY - (Sum: Acceptable): To extent would say is acceptable or unacceptable political parties to be funded in each of following ways?,144
SUMMARY - (Sum: Unacceptable): To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?,SUMMARY - (Sum: Unacceptable): To extent would say is acceptable or unacceptable political parties to be funded in each of following ways?,145
Private donations from wealthy individuals: To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?,Private donations from wealthy individuals: To extent would say is acceptable or unacceptable political parties to be funded in each of following ways?,146
Membership fees: To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?,Membership fees: To extent would say is acceptable or unacceptable political parties to be funded in each of following ways?,147
State funding: To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?,State funding: To extent would say is acceptable or unacceptable political parties to be funded in each of following ways?,148
Fundraising events e.g. party conferences: To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?,Fundraising events e.g. party conferences: To extent would say is acceptable or unacceptable political parties to be funded in each of following ways?,149
"SUMMARY - (Sum: Influence): Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?","SUMMARY - (Sum: Influence): Thinking about policies of following political parties, to extent would say private donations from wealthy individuals end up having influence on p",150
"SUMMARY - (Sum: No Influence): Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?","SUMMARY - (Sum: No Influence): Thinking about policies of following political parties, to extent would say private donations from wealthy individuals end up having influence o",151
"Conservative: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?","Conservative: Thinking about policies of following political parties, to extent would say private donations from wealthy individuals end up having influence on party policy?",152
"Labour: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?","Labour: Thinking about policies of following political parties, to extent would say private donations from wealthy individuals end up having influence on party policy?",153
"Liberal Democrats: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?","Liberal Democrats: Thinking about policies of following political parties, to extent would say private donations from wealthy individuals end up having influence on party poli",154
"SNP: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?","SNP: Thinking about policies of following political parties, to extent would say private donations from wealthy individuals end up having influence on party policy?",155
"Green Party: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?","Green Party: Thinking about policies of following political parties, to extent would say private donations from wealthy individuals end up having influence on party policy?",156
"Reform UK: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?","Reform UK: Thinking about policies of following political parties, to extent would say private donations from wealthy individuals end up having influence on party policy?",157
"There has been a story in the news this week about Frank Hester, a large donor to the Conservative Party. To what extent have you heard about this story?","There been story in news this week about Frank Hester, large donor to Conservative Party. To extent have heard about this story?",158
"at the following pairs, which of the following best matches your view?.","at following pairs, which of following best matches your view?.",159
SUMMARY - (Acceptable): Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,SUMMARY - (Acceptable): Do think is acceptable or unacceptable foreign governments to invest in each of following?,160
SUMMARY - (Unacceptable): Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,SUMMARY - (Unacceptable): Do think is acceptable or unacceptable foreign governments to invest in each of following?,161
UK-based newspapers: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,UK-based newspapers: Do think is acceptable or unacceptable foreign governments to invest in each of following?,162
UK-based sports teams: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,UK-based sports teams: Do think is acceptable or unacceptable foreign governments to invest in each of following?,163
UK-based construction firms: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,UK-based construction firms: Do think is acceptable or unacceptable foreign governments to invest in each of following?,164
UK-based private healthcare providers: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,UK-based private healthcare providers: Do think is acceptable or unacceptable foreign governments to invest in each of following?,165
UK-based television channels: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,UK-based television channels: Do think is acceptable or unacceptable foreign governments to invest in each of following?,166
UK-based technology companies: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,UK-based technology companies: Do think is acceptable or unacceptable foreign governments to invest in each of following?,167
SUMMARY - (Sum: Concerned): To what extent would you be concerned or unconcerned about each of the following owning a newspaper that operates exclusively in the UK?,SUMMARY - (Sum: Concerned): To extent would be concerned or unconcerned about each of following owning newspaper operates exclusively in UK?,168
A wealthy individual who owns newspapers in other countries: To what extent would you be concerned or unconcerned about each of the following owning a newspaper that operates exclusively in the UK?,A wealthy individual who owns newspapers in other countries: To extent would be concerned or unconcerned about each of following owning newspaper operates exclusively in UK?,169
A British individual who already owns a British newspaper: To what extent would you be concerned or unconcerned about each of the following owning a newspaper that operates exclusively in the UK?,A British individual who already owns British newspaper: To extent would be concerned or unconcerned about each of following owning newspaper operates exclusively in UK?,170
A fund with significant investment from a Middle Eastern government: To what extent would you be concerned or unconcerned about each of the following owning a newspaper that operates exclusively in the UK?,A fund with significant investment from Middle Eastern government: To extent would be concerned or unconcerned about each of following owning newspaper operates exclusively in,171
NA,NA,172
In which of the following ways do you identify?,In which of following ways identify?,173
What is the nearest city to where you live?,What is nearest city to where live?,174
Which of the following best describes the profession of the chief income earner in your household?,Which of following best describes profession of chief income earner in your household?,175
Which of the following best describes the previous occupation of the chief income earner in your household before retirement?,Which of following best describes previous occupation of chief income earner in your household before retirement?,176
Which of the following best describes the profession of the chief income earner in your household? Including previous occupation,Which of following best describes profession of chief income earner in your household? Including previous occupation,177
SEG - set from Occupation question,SEG - set from Occupation question,178
How would you describe your ethnic origin?,How would describe your ethnic origin?,179
"Have you ever been a victim of fraud? (Please note, this could be any type of fraud - such as text scams, romance fraud, cold calling, identity theft, investment fraud, etc.)","Have ever been victim of fraud? (Please note, this could be any type of fraud - such as text scams, romance fraud, cold calling, identity theft, investment fraud, etc.)",180
Did you lose any money when you were a victim of fraud?,Did lose any money when victim of fraud?,181
What type of fraud were you a victim of?,What type of fraud victim of?,182
"You said that you lost money as a result of being a victim of fraud. Which of the following statements, if any, apply to your experience of being a victim of fraud?","You said lost money as result of being victim of fraud. Which of following statements, any, apply to your experience of being victim of fraud?",183
"Reflecting on your experience(s) of being defrauded, how did you feel immediately after the incident (i.e., at the time you lost your money, or discovered the person you had been speaking with was not who they said they were)?","Reflecting on your experience(s) of being defrauded, how did feel immediately after incident (i.e., at time lost your money, or discovered person had been speaking with was no",184
"Your sleep: What impact, if any, did your experience of being defrauded have on the following:","Your sleep: What impact, any, did your experience of being defrauded have on following:",185
"Your personal relationships: What impact, if any, did your experience of being defrauded have on the following:","Your personal relationships: What impact, any, did your experience of being defrauded have on following:",186
"Your ability to work: What impact, if any, did your experience of being defrauded have on the following:","Your ability to work: What impact, any, did your experience of being defrauded have on following:",187
"Your mood: What impact, if any, did your experience of being defrauded have on the following:","Your mood: What impact, any, did your experience of being defrauded have on following:",188
"What impact, if any, did your experience of being defrauded have on the following: SUMMARY","What impact, any, did your experience of being defrauded have on following: SUMMARY",189
"Roughly, how long do you estimate that your sleep was impacted for, after you lost money from fraud? If you can't remember, please give your best guess.","Roughly, how long estimate your sleep was impacted for, after lost money from fraud? If can't remember, please give your best guess.",190
"Which of the following reasons, if any, do you think explain why being defrauded impacted your sleep?","Which of following reasons, any, think explain why being defrauded impacted your sleep?",191
"Since losing money, have you experienced any changes in your physical health that you feel could be a result of being a victim of fraud? Examples may include increased blood pressure or weight gain as a result of prolonged stress caused by the incident.","Since losing money, have experienced any changes in your physical health feel could be result of being victim of fraud? Examples may include increased blood pressure or weight",192
What changes have you experienced in your physical health since being a victim of fraud?,What changes have experienced in your physical health since being victim of fraud?,193
"I have struggled with alcohol misuse since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?","I have struggled with alcohol misuse since being victim of fraud: Reflecting on your experience(s) of having money stolen from by fraudsters, to extent agree or disagree with ",194
"I have struggled with drug/illegal substances misuse since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?","I have struggled with drug/illegal substances misuse since being victim of fraud: Reflecting on your experience(s) of having money stolen from by fraudsters, to extent agree o",195
"I have struggled with self-care since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?","I have struggled with self-care since being victim of fraud: Reflecting on your experience(s) of having money stolen from by fraudsters, to extent agree or disagree with each ",196
