key,question
21,"QCVIMQ2/QCVIMQ3/QCVIMQ4/QCVIMQ5. If there were a UK General Election tomorrow to elect MPs to Westminster, which of the following parties do you think you would vote for or would you vote for another party?/If it were a legal requirement for you to vote, which of the following parties do you think you would vote for or would you vote for another party?"
22,"QCVIMQ6. At the UK General Election that took on the 12th December 2019, 67% of people voted and 33% of people did not. Did you, or did you not vote in the 2019 UK General Election?"
23,"QCVIMQ7. Thinking back to the UK General Election that took on the 12th December 2019, which of the following parties did you vote for, or did you vote for another party?"
24,QCVIMQ8. Which other party did you vote for?
25,"QCVIMQ9. At the EU Referendum in 2016, 72% of people voted and 28% of people did not. Did you, or did you not vote in the 2016 EU Referendum?"
26,"Q1. Thinking of how you said earlier that you'd vote if a General Election were tomorrow, how likely, or unlikely, is it that you'll change your mind between now and when the next election is actually held?"
27,Q16. Which of the following politicians do you think would make the best Prime Minister?
28,"Q2. Irrespective of how you think you might vote at the next General Election, which of the following do you think is the most likely outcome?"
29,Q3. You said earlier that you voted for the Conservative Party at the 2019 General Election but would vote Labour if there were an election tomorrow. Which of the following best describes the reason for your vote?
30,Q4. You said earlier that you voted for the Conservative Party at the 2019 General Election but would vote Reform UK if there were an election tomorrow. Which of the following best describes the reason for your vote?
31,Q5. You said earlier that you voted for the Conservative Party at the 2019 General Election but would vote for a different party or are undecided if there were an election tomorrow. Which of these is closest to your view?
32,Q7. Sum: Conservative Party: Which of the following political parties do you think has the best plan for each of the following?
33,Q7. Sum: Labour Party: Which of the following political parties do you think has the best plan for each of the following?
34,Q7_1. Manage the economy: Which of the following political parties do you think has the best plan for each of the following?
35,Q7_2. Cut taxes for working people: Which of the following political parties do you think has the best plan for each of the following?
36,Q7_3. Stop small boat crossings: Which of the following political parties do you think has the best plan for each of the following?
37,Q7_4. Represent the UK on the global stage: Which of the following political parties do you think has the best plan for each of the following?
38,Q7_5. Improve the NHS: Which of the following political parties do you think has the best plan for each of the following?
39,Q7_6. Manage the transition to Net Zero: Which of the following political parties do you think has the best plan for each of the following?
40,"Q8a. Thinking about Rishi Sunak, which of these statements best applies to him?"
41,"Q8b. Thinking about Rishi Sunak, which of these statements best applies to him?"
42,"Q8c. Thinking about Rishi Sunak, which of these statements best applies to him?"
43,"Q8d. Thinking about Rishi Sunak, which of these statements best applies to him?"
44,"Q8e. Thinking about Rishi Sunak, which of these statements best applies to him?"
45,"Q8f. Thinking about Rishi Sunak, which of these statements best applies to him?"
46,"Q8g. Thinking about Rishi Sunak, which of these statements best applies to him?"
47,"Q9a. Thinking about Keir Starmer, which of these statements best applies to him?"
48,"Q9b. Thinking about Keir Starmer, which of these statements best applies to him?"
49,"Q9c. Thinking about Keir Starmer, which of these statements best applies to him?"
50,"Q9d. Thinking about Keir Starmer, which of these statements best applies to him?"
51,"Q9e. Thinking about Keir Starmer, which of these statements best applies to him?"
52,"Q9f. Thinking about Keir Starmer, which of these statements best applies to him?"
53,"Q9g. Thinking about Keir Starmer, which of these statements best applies to him?"
54,"Q10a_a. Thinking about the Conservative Party, which of these statements best apply?"
55,"Q10a_b. Thinking about the Conservative Party, which of these statements best apply?"
56,"Q10a_c. Thinking about the Conservative Party, which of these statements best apply?"
57,"Q10a_d. Thinking about the Conservative Party, which of these statements best apply?"
58,"Q10a_e. Thinking about the Conservative Party, which of these statements best apply?"
59,"Q10b_a. Thinking about the Labour Party, which of these statements best apply?"
60,"Q10b_b. Thinking about the Labour Party, which of these statements best apply?"
61,"Q10b_c. Thinking about the Labour Party, which of these statements best apply?"
62,"Q10b_d. Thinking about the Labour Party, which of these statements best apply?"
63,"Q10b_e. Thinking about the Labour Party, which of these statements best apply?"
64,"Q11. Sum: Read: How often on average, do you read each of the following newspapers?"
65,"Q11. Sum: Read at least once a week: How often on average, do you read each of the following newspapers?"
66,"Q11. Sum: Read at least once a month: How often on average, do you read each of the following newspapers?"
67,"Q11_1. The Sun/ Sun on Sunday: How often on average, do you read each of the following newspapers?"
68,"Q11_2. The Daily Telegraph/ The Sunday Telegraph: How often on average, do you read each of the following newspapers?"
69,"Q11_3. The Times/ The Sunday Times: How often on average, do you read each of the following newspapers?"
70,"Q11_4. The Daily Star/ Daily Star Sunday: How often on average, do you read each of the following newspapers?"
71,"Q11_5. The Guardian: How often on average, do you read each of the following newspapers?"
72,"Q11_6. The Observer: How often on average, do you read each of the following newspapers?"
73,"Q11_7. The Independent/ The Independent on Sunday: How often on average, do you read each of the following newspapers?"
74,"Q11_8. The Mirror/ Sunday Mirror: How often on average, do you read each of the following newspapers?"
75,"Q11_9. Financial Times/ FT Weekend: How often on average, do you read each of the following newspapers?"
76,"Q11_10. Daily Mail/ Mail on Sunday: How often on average, do you read each of the following newspapers?"
77,"Q12. Sum: Read: How often on average, do you visit each of the following news sites?"
78,"Q12. Sum: Read at least once a week: How often on average, do you visit each of the following news sites?"
79,"Q12. Sum: Read at least once a month: How often on average, do you visit each of the following news sites?"
80,"Q12_1. TheSun.co.uk: How often on average, do you visit each of the following news sites?"
81,"Q12_2. Telegraph.co.uk: How often on average, do you visit each of the following news sites?"
82,"Q12_3. Thetimes.co.uk: How often on average, do you visit each of the following news sites?"
83,"Q12_4. Dailystar.co.uk: How often on average, do you visit each of the following news sites?"
84,"Q12_5. Theguardian.com: How often on average, do you visit each of the following news sites?"
85,"Q12_6. Independent.co.uk: How often on average, do you visit each of the following news sites?"
86,"Q12_7. inews.co.uk: How often on average, do you visit each of the following news sites?"
87,"Q12_8. mirror.co.uk: How often on average, do you visit each of the following news sites?"
88,"Q12_9. ft.com: How often on average, do you visit each of the following news sites?"
89,"Q12_10. Dailymail.co.uk: How often on average, do you visit each of the following news sites?"
90,"Q12_11. BBC News: How often on average, do you visit each of the following news sites?"
91,"Q12_12. Channel 4 News: How often on average, do you visit each of the following news sites?"
92,"Q12_13. Sky News: How often on average, do you visit each of the following news sites?"
93,"Q12_14. CNN: How often on average, do you visit each of the following news sites?"
94,"Q12_15. Huffington Post: How often on average, do you visit each of the following news sites?"
95,"Q12_16. Buzzfeed.com: How often on average, do you visit each of the following news sites?"
96,Q13. Sum: Advocates: How would you describe your overall opinion of the brands below compared to other news/media brands?
97,"Q13. Sum: Rejectors: How often on average, do you visit each of the following news sites?"
98,Q13_1. The Sun: How would you describe your overall opinion of the brands below compared to other news/media brands?
99,Q13_2. The Daily Mail: How would you describe your overall opinion of the brands below compared to other news/media brands?
100,Q13_3. Mail Online: How would you describe your overall opinion of the brands below compared to other news/media brands?
101,Q13_4. Daily Express: How would you describe your overall opinion of the brands below compared to other news/media brands?
102,Q13_5. The Mirror: How would you describe your overall opinion of the brands below compared to other news/media brands?
103,Q13_6. Daily Star: How would you describe your overall opinion of the brands below compared to other news/media brands?
104,Q14. You mentioned that you read The Sun and/or TheSun.co.uk. Which of these topics do you read or look at in The Sun/on TheSun.co.uk?
105,Q15. You mentioned that you read about politics in The Sun or on TheSun.co.uk. How often does the political content you read reflect your own personal views?
106,Gender. How do you identify?
107,Age. How old are you?
108,Regions. Where do you live?
109,Occupation. Please indicate which one of the following best describes the profession of the chief income earner in your household.
110,S2. Is the house or flat in which you live...?
111,Workingstatus. Which of the following best describes your work status before March 2020 (pre-Covid 19)?
112,S8. How many cars are there in your household?
113,S6. Have you taken a foreign holiday in the last 3 years?
114,QCVIMQ11_1. The government in general: To what extent do you feel favourably or unfavourably towards each of the following?
115,QCVIMQ11_2. Boris Johnson: To what extent do you feel favourably or unfavourably towards each of the following?
116,QCVIMQ11_3. Keir Starmer: To what extent do you feel favourably or unfavourably towards each of the following?
117,QCVIMQ11_4. Rishi Sunak: To what extent do you feel favourably or unfavourably towards each of the following?
118,QCVIMQ11_7. Ed Davey: To what extent do you feel favourably or unfavourably towards each of the following?
119,QCVIMQ11_9. Liz Truss: To what extent do you feel favourably or unfavourably towards each of the following?
120,QCVIMQ11_20. James Cleverly: To what extent do you feel favourably or unfavourably towards each of the following?
121,QCVIMQ11_21. Suella Braverman: To what extent do you feel favourably or unfavourably towards each of the following?
122,QCVIMQ11_22. Ben Wallace: To what extent do you feel favourably or unfavourably towards each of the following?
123,QCVIMQ11_24. Jeremy Hunt: To what extent do you feel favourably or unfavourably towards each of the following?
124,QCVIMQ11_25. David Cameron: To what extent do you feel favourably or unfavourably towards each of the following?
125,QCVIMQ11_26. Nigel Farage: To what extent do you feel favourably or unfavourably towards each of the following?
126,QCVIMQ11_27. Donald Trump: To what extent do you feel favourably or unfavourably towards each of the following?
127,QCVIMQ11_28. Joe Biden: To what extent do you feel favourably or unfavourably towards each of the following?
128,"QCVIMQ12_2. Keir Starmer: Thinking about each of the following characteristics some people may say about politicians, do you think they apply to each of these?"
129,"QCVIMQ12_3. Ed Davey: Thinking about each of the following characteristics some people may say about politicians, do you think they apply to each of these?"
130,"QCVIMQ12_5. Rishi Sunak: Thinking about each of the following characteristics some people may say about politicians, do you think they apply to each of these?"
131,QCVIMQ13. Which of the following politicians do you think would make the best Prime Minister?
132,"QCVIMQ14. Thinking about Rishi Sunak and his policies, which of the following statements is closest to your view?"
133,"QCVIMQ15. Thinking about Keir Starmer and his policies, which of the following statements is closest to your view?"
134,"QCVIMQ16. Thinking about Rishi Sunak and the Conservative Party, which of the following statements is closest to your view?"
135,"QCVIMQ17. Thinking about Keir Starmer and the Labour Party, which of the following statements is closest to your view?"
136,"QCVIMQ18_1. Conservative Party: Thinking about each of the following characteristics some people may say about political parties, do you think they apply to each of these parties?"
137,"QCVIMQ18_2. Labour Party: Thinking about each of the following characteristics some people may say about political parties, do you think they apply to each of these parties?"
138,"QCVIMQ18_3. Liberal Democrats: Thinking about each of the following characteristics some people may say about political parties, do you think they apply to each of these parties?"
139,"QCVIMQ19_1. The economy: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?"
140,"QCVIMQ19_2. The National Health Service (NHS): To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?"
141,"QCVIMQ19_3. The education system: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?"
142,"QCVIMQ19_4. Your personal finances: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?"
143,"QCVIMQ19_5. Your physical health: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?"
144,"QCVIMQ19_6. Your mental health: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?"
145,QCVIMQ27_1. Attended a protest or rally: Which of the following have you ever done?
146,QCVIMQ27_2. Become a member of a political party: Which of the following have you ever done?
147,QCVIMQ27_3. Become a member of a trade union: Which of the following have you ever done?
148,QCVIMQ27_4. Signed an online or physical petition: Which of the following have you ever done?
149,QCVIMQ27_5. Joined a local or national campaign group: Which of the following have you ever done?
150,"QCVIMQ28_1. Homophobia: To what extent do you think that each of these are, or are not, a problem in the UK?"
151,"QCVIMQ28_2. Biphobia: To what extent do you think that each of these are, or are not, a problem in the UK?"
152,"QCVIMQ28_3. Transphobia: To what extent do you think that each of these are, or are not, a problem in the UK?"
153,"QCVIMQ28_4. Racism: To what extent do you think that each of these are, or are not, a problem in the UK?"
154,"QCVIMQ28_5. Sexism: To what extent do you think that each of these are, or are not, a problem in the UK?"
155,"QCVIMQ28_6. Ableism: To what extent do you think that each of these are, or are not, a problem in the UK?"
156,"QCVIMQ28_7. Ageism: To what extent do you think that each of these are, or are not, a problem in the UK?"
157,"QCVIMQ28_8. Antisemitism: To what extent do you think that each of these are, or are not, a problem in the UK?"
158,"QCVIMQ28_9. Islamophobia: To what extent do you think that each of these are, or are not, a problem in the UK?"
159,"QCVIMQ28_10. Class discrimination: To what extent do you think that each of these are, or are not, a problem in the UK?"
160,QCVIMQ34_1. Repay £5 you've lent them: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.
161,QCVIMQ34_2. Lend you £5 when you need it: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.
162,QCVIMQ34_3. Look after your home while you are away: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.
163,QCVIMQ34_4. Cook a good meal: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.
164,QCVIMQ34_5. Buy a round for their friends at the pub: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.
165,QCVIMQ34_6. Tip their server: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.
166,QCVIMQ34_7. Give impartial advice: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.
167,QCVIMQ34_8. Assemble flat-pack furniture: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.
168,QCVIMQ34_9. Cut the food you are sharing equally in half: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.
169,QCVIMQ34_10. Organise a fun night out: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.
170,QCVIMQ44_1. Healthcare: To what extent are you optimistic or pessimistic about the following issues in 2023?
171,QCVIMQ44_2. Your financial situation: To what extent are you optimistic or pessimistic about the following issues in 2023?
172,QCVIMQ44_3. Employment: To what extent are you optimistic or pessimistic about the following issues in 2023?
173,QCVIMQ44_4. The economy: To what extent are you optimistic or pessimistic about the following issues in 2023?
174,QCVIMQ44_5. Going on holiday abroad: To what extent are you optimistic or pessimistic about the following issues in 2023?
175,QCVIMQ44_6. Your local area: To what extent are you optimistic or pessimistic about the following issues in 2023?
176,QPFPRW200Q1. SUMMARY - (Sum: Acceptable): To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?
177,QPFPRW200Q1. SUMMARY - (Sum: Unacceptable): To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?
178,QPFPRW200Q1_1. Private donations from wealthy individuals: To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?
179,QPFPRW200Q1_2. Membership fees: To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?
180,QPFPRW200Q1_3. State funding: To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?
181,QPFPRW200Q1_4. Fundraising events e.g. party conferences: To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?
182,"QPFPRW200Q2. SUMMARY - (Sum: Influence): Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?"
183,"QPFPRW200Q2. SUMMARY - (Sum: No Influence): Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?"
184,"QPFPRW200Q2_1. Conservative: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?"
185,"QPFPRW200Q2_2. Labour: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?"
186,"QPFPRW200Q2_3. Liberal Democrats: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?"
187,"QPFPRW200Q2_4. SNP: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?"
188,"QPFPRW200Q2_5. Green Party: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?"
189,"QPFPRW200Q2_6. Reform UK: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?"
190,"QPFPRW200Q3. There has been a story in the news this week about Frank Hester, a large donor to the Conservative Party. To what extent have you heard about this story?"
191,"QPFPRW200Q4_1. News reports have alleged that Frank Hester, a Conservative Party donor who has given £10 million to the party in the last year, said that looking at Diane Abbott, a female, black, Labour MP, makes you “want to hate all black women” and that she “should be shot”"
192,"QPFPRW200Q4_2. News reports have alleged that Frank Hester, a Conservative Party donor who has given £10 million to the party in the last year, said that looking at Diane Abbott, a female, black, Labour MP, makes you “want to hate all black women” and that she “should be shot”"
193,"QPFPRW200Q4_3. News reports have alleged that Frank Hester, a Conservative Party donor who has given £10 million to the party in the last year, said that looking at Diane Abbott, a female, black, Labour MP, makes you “want to hate all black women” and that she “should be shot”"
194,"QPFPRW200Q4_4. News reports have alleged that Frank Hester, a Conservative Party donor who has given £10 million to the party in the last year, said that looking at Diane Abbott, a female, black, Labour MP, makes you “want to hate all black women” and that she “should be shot”"
195,"QPFPRW200Q4_5. News reports have alleged that Frank Hester, a Conservative Party donor who has given £10 million to the party in the last year, said that looking at Diane Abbott, a female, black, Labour MP, makes you “want to hate all black women” and that she “should be shot”"
196,QPFPRW200Q5. SUMMARY - (Acceptable): Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?
197,QPFPRW200Q5. SUMMARY - (Unacceptable): Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?
198,QPFPRW200Q5_1. UK-based newspapers: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?
199,QPFPRW200Q5_2. UK-based sports teams: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?
200,QPFPRW200Q5_3. UK-based construction firms: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?
201,QPFPRW200Q5_4. UK-based private healthcare providers: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?
202,QPFPRW200Q5_5. UK-based television channels: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?
203,QPFPRW200Q5_6. UK-based technology companies: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?
204,QPFPRW200Q6. SUMMARY - (Sum: Concerned): To what extent would you be concerned or unconcerned about each of the following owning a newspaper that operates exclusively in the UK?
205,QPFPRW200Q6_1. A wealthy individual who owns newspapers in other countries: To what extent would you be concerned or unconcerned about each of the following owning a newspaper that operates exclusively in the UK?
206,QPFPRW200Q6_2. A British individual who already owns a British newspaper: To what extent would you be concerned or unconcerned about each of the following owning a newspaper that operates exclusively in the UK?
207,QPFPRW200Q6_3. A fund with significant investment from a Middle Eastern government: To what extent would you be concerned or unconcerned about each of the following owning a newspaper that operates exclusively in the UK?
208,SEGMENT.
209,Gender. In which of the following ways do you identify?
210,UKCities. What is the nearest city to where you live?
211,Occupation. Which of the following best describes the profession of the chief income earner in your household?
212,OccupationRetired. Which of the following best describes the previous occupation of the chief income earner in your household before retirement?
213,Occupation/OccupationRetired. Which of the following best describes the profession of the chief income earner in your household? Including previous occupation
214,dSEG. SEG - set from Occupation question
215,Ethnicity. How would you describe your ethnic origin?
216,"Q1. Have you ever been a victim of fraud? (Please note, this could be any type of fraud - such as text scams, romance fraud, cold calling, identity theft, investment fraud, etc.)"
217,Q1b. Did you lose any money when you were a victim of fraud?
218,Q2. What type of fraud were you a victim of?
219,"Q3. You said that you lost money as a result of being a victim of fraud. Which of the following statements, if any, apply to your experience of being a victim of fraud?"
220,"Q4. Reflecting on your experience(s) of being defrauded, how did you feel immediately after the incident (i.e., at the time you lost your money, or discovered the person you had been speaking with was not who they said they were)?"
221,"Q5_1. Your sleep: What impact, if any, did your experience of being defrauded have on the following:"
222,"Q5_2. Your personal relationships: What impact, if any, did your experience of being defrauded have on the following:"
223,"Q5_3. Your ability to work: What impact, if any, did your experience of being defrauded have on the following:"
224,"Q5_4. Your mood: What impact, if any, did your experience of being defrauded have on the following:"
225,"Q5. What impact, if any, did your experience of being defrauded have on the following: SUMMARY"
226,"Q6. Roughly, how long do you estimate that your sleep was impacted for, after you lost money from fraud? If you can't remember, please give your best guess."
227,"Q7. Which of the following reasons, if any, do you think explain why being defrauded impacted your sleep?"
228,"Q8. Since losing money, have you experienced any changes in your physical health that you feel could be a result of being a victim of fraud? Examples may include increased blood pressure or weight gain as a result of prolonged stress caused by the incident."
229,Q9. What changes have you experienced in your physical health since being a victim of fraud?
230,"Q10_1. I have struggled with alcohol misuse since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
231,"Q10_2. I have struggled with drug/illegal substances misuse since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
232,"Q10_3. I have struggled with self-care since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
233,"Q10_4. I trust people less since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
234,"Q10_5. I trust my gut instinct more since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
235,"Q10_6. I am warier of strangers since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
236,"Q10_7. I feel more confident in my ability to spot fraud since being a victim: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
237,"Q10_8. Being a victim of fraud has made me more mindful of how I spend my money: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
238,"Q10. Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements? SUMMARY"
239,Q11. To what extent do you agree or disagree with the following statement: 'Being a victim of fraud has had a negative impact on my mental health'?
240,"Q12. In what way(s) has being a victim of fraud impacted your mental health? If fraudsters have stolen money from you on more than one occasion, please consider how, collectively, being defrauded has had a negative impact on your mental health."
241,Q13. Have you ever sought professional help about the way(s) fraud has impacted your mental health?
242,QTPRW200Q2. SUMMARY - (Sum: Well): To what extent do you think that the government is handling each of the following policy areas well or badly?
243,QTPRW200Q2. SUMMARY - (Sum: Badly): To what extent do you think that the government is handling each of the following policy areas well or badly?
244,QTPRW200Q2_1. The economy:  To what extent do you think that the government is handling each of the following policy areas well or badly?
245,QTPRW200Q2_2. Inflation and the cost of living:  To what extent do you think that the government is handling each of the following policy areas well or badly?
246,QTPRW200Q2_3. Immigration:  To what extent do you think that the government is handling each of the following policy areas well or badly?
247,QTPRW200Q2_4. The NHS:  To what extent do you think that the government is handling each of the following policy areas well or badly?
248,QTPRW200Q2_5. Housing:  To what extent do you think that the government is handling each of the following policy areas well or badly?
249,QTPRW200Q2_6. Crime:  To what extent do you think that the government is handling each of the following policy areas well or badly?
250,QTPRW200Q2_7. The environment and climate change:  To what extent do you think that the government is handling each of the following policy areas well or badly?
251,QTPRW200Q2_8. Taxation:  To what extent do you think that the government is handling each of the following policy areas well or badly?
252,QTPRW200Q2_9. Pensions:  To what extent do you think that the government is handling each of the following policy areas well or badly?
253,QTPRW200Q2_10. Transport:  To what extent do you think that the government is handling each of the following policy areas well or badly?
254,QTPRW200Q2_11. Education:  To what extent do you think that the government is handling each of the following policy areas well or badly?
255,QTPRW200Q2_12. Britain's relationship with the EU:  To what extent do you think that the government is handling each of the following policy areas well or badly?
256,QTPRW200Q2_13. Defence:  To what extent do you think that the government is handling each of the following policy areas well or badly?
257,QTPRW200Q3. SUMMARY - (Conservative Party): Which of the following political parties do you think is best placed to manage each of the following issues?
258,QTPRW200Q3. SUMMARY - (Labour Party): Which of the following political parties do you think is best placed to manage each of the following issues?
259,QTPRW200Q3_1. The economy: Which of the following political parties do you think is best placed to manage each of the following issues?
260,QTPRW200Q3_2. Inflation and the cost of living: Which of the following political parties do you think is best placed to manage each of the following issues?
261,QTPRW200Q3_3. Immigration: Which of the following political parties do you think is best placed to manage each of the following issues?
262,QTPRW200Q3_4. The NHS: Which of the following political parties do you think is best placed to manage each of the following issues?
263,QTPRW200Q3_5. Housing: Which of the following political parties do you think is best placed to manage each of the following issues?
264,QTPRW200Q3_6. Crime: Which of the following political parties do you think is best placed to manage each of the following issues?
265,QTPRW200Q3_7. The environment and climate change: Which of the following political parties do you think is best placed to manage each of the following issues?
266,QTPRW200Q3_8. Taxation: Which of the following political parties do you think is best placed to manage each of the following issues?
267,QTPRW200Q3_9. Pensions: Which of the following political parties do you think is best placed to manage each of the following issues?
268,QTPRW200Q3_10. Transport: Which of the following political parties do you think is best placed to manage each of the following issues?
269,QTPRW200Q3_11. Education: Which of the following political parties do you think is best placed to manage each of the following issues?
270,QTPRW200Q3_12. Britain's relationship with the EU: Which of the following political parties do you think is best placed to manage each of the following issues?
271,QTPRW200Q3_13. Defence: Which of the following political parties do you think is best placed to manage each of the following issues?
272,QTPRW200Q4. SUMMARY - (Sum: Well): To what extent would you say that each of the following pledges from the government in 2023 have gone well or badly?
273,QTPRW200Q4. SUMMARY - (Sum: Badly): To what extent would you say that each of the following pledges from the government in 2023 have gone well or badly?
274,QTPRW200Q4_1. Halve inflation: To what extent would you say that each of the following pledges from the government in 2023 have gone well or badly?
275,QTPRW200Q4_2. Grow the economy: To what extent would you say that each of the following pledges from the government in 2023 have gone well or badly?
276,QTPRW200Q4_3. Get debt falling: To what extent would you say that each of the following pledges from the government in 2023 have gone well or badly?
277,QTPRW200Q4_4. Cut NHS waiting lists: To what extent would you say that each of the following pledges from the government in 2023 have gone well or badly?
278,QTPRW200Q4_5. Stop the boats: To what extent would you say that each of the following pledges from the government in 2023 have gone well or badly?
279,QTPRW200Q5. SUMMARY - (Conservative Party): Which of the following political parties do you think is best placed to manage each of the following issues?
280,QTPRW200Q5. SUMMARY - (Labour Party): Which of the following political parties do you think is best placed to manage each of the following issues?
281,QTPRW200Q5_1. Halve inflation: Which of the following political parties do you think is best placed to manage each of the following issues?
282,QTPRW200Q5_2. Grow the economy: Which of the following political parties do you think is best placed to manage each of the following issues?
283,QTPRW200Q5_3. Get debt falling: Which of the following political parties do you think is best placed to manage each of the following issues?
284,QTPRW200Q5_4. Cut NHS waiting lists: Which of the following political parties do you think is best placed to manage each of the following issues?
285,QTPRW200Q5_5. Stop the boats: Which of the following political parties do you think is best placed to manage each of the following issues?
