question,key
Mail Online: How would you describe your overall opinion of the brands below compared to other news/media brands?,69
Daily Express: How would you describe your overall opinion of the brands below compared to other news/media brands?,70
The Mirror: How would you describe your overall opinion of the brands below compared to other news/media brands?,71
Daily Star: How would you describe your overall opinion of the brands below compared to other news/media brands?,72
You mentioned that you read The Sun and/or TheSun.co.uk. Which of these topics do you read or look at in The Sun/on TheSun.co.uk?,73
You mentioned that you read about politics in The Sun or on TheSun.co.uk. How often does the political content you read reflect your own personal views?,74
How do you identify?,75
How old are you?,76
Where do you live?,77
Please indicate which one of the following best describes the profession of the chief income earner in your household.,78
Is the house or flat in which you live...?,79
Which of the following best describes your work status before March 2020 (pre-Covid 19)?,80
How many cars are there in your household?,81
Have you taken a foreign holiday in the last 3 years?,82
The government in general: To what extent do you feel favourably or unfavourably towards each of the following?,83
Boris Johnson: To what extent do you feel favourably or unfavourably towards each of the following?,84
Keir Starmer: To what extent do you feel favourably or unfavourably towards each of the following?,85
Rishi Sunak: To what extent do you feel favourably or unfavourably towards each of the following?,86
Ed Davey: To what extent do you feel favourably or unfavourably towards each of the following?,87
Liz Truss: To what extent do you feel favourably or unfavourably towards each of the following?,88
James Cleverly: To what extent do you feel favourably or unfavourably towards each of the following?,89
Suella Braverman: To what extent do you feel favourably or unfavourably towards each of the following?,90
Ben Wallace: To what extent do you feel favourably or unfavourably towards each of the following?,91
Jeremy Hunt: To what extent do you feel favourably or unfavourably towards each of the following?,92
David Cameron: To what extent do you feel favourably or unfavourably towards each of the following?,93
Nigel Farage: To what extent do you feel favourably or unfavourably towards each of the following?,94
Donald Trump: To what extent do you feel favourably or unfavourably towards each of the following?,95
Joe Biden: To what extent do you feel favourably or unfavourably towards each of the following?,96
"Keir Starmer: Thinking about each of the following characteristics some people may say about politicians, do you think they apply to each of these?",97
"Ed Davey: Thinking about each of the following characteristics some people may say about politicians, do you think they apply to each of these?",98
"Rishi Sunak: Thinking about each of the following characteristics some people may say about politicians, do you think they apply to each of these?",99
"Thinking about Rishi Sunak and his policies, which of the following statements is closest to your view?",100
"Thinking about Keir Starmer and his policies, which of the following statements is closest to your view?",101
"Thinking about Rishi Sunak and the Conservative Party, which of the following statements is closest to your view?",102
"Thinking about Keir Starmer and the Labour Party, which of the following statements is closest to your view?",103
"Conservative Party: Thinking about each of the following characteristics some people may say about political parties, do you think they apply to each of these parties?",104
"Labour Party: Thinking about each of the following characteristics some people may say about political parties, do you think they apply to each of these parties?",105
"Liberal Democrats: Thinking about each of the following characteristics some people may say about political parties, do you think they apply to each of these parties?",106
"The economy: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?",107
"The National Health Service (NHS): To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?",108
"The education system: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?",109
"Your personal finances: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?",110
"Your physical health: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?",111
"Your mental health: To what extent do you think that each of the following will get better or worse over the course of the next 12 months, or will they stay the same?",112
Attended a protest or rally: Which of the following have you ever done?,113
Become a member of a political party: Which of the following have you ever done?,114
Become a member of a trade union: Which of the following have you ever done?,115
Signed an online or physical petition: Which of the following have you ever done?,116
Joined a local or national campaign group: Which of the following have you ever done?,117
"Homophobia: To what extent do you think that each of these are, or are not, a problem in the UK?",118
"Biphobia: To what extent do you think that each of these are, or are not, a problem in the UK?",119
"Transphobia: To what extent do you think that each of these are, or are not, a problem in the UK?",120
"Racism: To what extent do you think that each of these are, or are not, a problem in the UK?",121
"Sexism: To what extent do you think that each of these are, or are not, a problem in the UK?",122
"Ableism: To what extent do you think that each of these are, or are not, a problem in the UK?",123
"Ageism: To what extent do you think that each of these are, or are not, a problem in the UK?",124
"Antisemitism: To what extent do you think that each of these are, or are not, a problem in the UK?",125
"Islamophobia: To what extent do you think that each of these are, or are not, a problem in the UK?",126
"Class discrimination: To what extent do you think that each of these are, or are not, a problem in the UK?",127
Repay £5 you've lent them: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,128
Lend you £5 when you need it: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,129
Look after your home while you are away: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,130
Cook a good meal: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,131
Buy a round for their friends at the pub: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,132
Tip their server: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,133
Give impartial advice: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,134
Assemble flat-pack furniture: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,135
Cut the food you are sharing equally in half: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,136
Organise a fun night out: Please select whether you trust Rishi Sunak or Keir Starmer more to do each of the following actions.,137
Healthcare: To what extent are you optimistic or pessimistic about the following issues in YYYY?,138
Your financial situation: To what extent are you optimistic or pessimistic about the following issues in YYYY?,139
Employment: To what extent are you optimistic or pessimistic about the following issues in YYYY?,140
The economy: To what extent are you optimistic or pessimistic about the following issues in YYYY?,141
Going on holiday abroad: To what extent are you optimistic or pessimistic about the following issues in YYYY?,142
Your local area: To what extent are you optimistic or pessimistic about the following issues in YYYY?,143
SUMMARY - (Sum: Acceptable): To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?,144
SUMMARY - (Sum: Unacceptable): To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?,145
Private donations from wealthy individuals: To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?,146
Membership fees: To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?,147
State funding: To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?,148
Fundraising events e.g. party conferences: To what extent would you say that it is acceptable or unacceptable for political parties to be funded in each of the following ways?,149
"SUMMARY - (Sum: Influence): Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?",150
"SUMMARY - (Sum: No Influence): Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?",151
"Conservative: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?",152
"Labour: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?",153
"Liberal Democrats: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?",154
"SNP: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?",155
"Green Party: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?",156
"Reform UK: Thinking about the policies of the following political parties, to what extent would you say that private donations from wealthy individuals end up having influence on party policy?",157
"There has been a story in the news this week about Frank Hester, a large donor to the Conservative Party. To what extent have you heard about this story?",158
"at the following pairs, which of the following best matches your view?.",159
SUMMARY - (Acceptable): Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,160
SUMMARY - (Unacceptable): Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,161
UK-based newspapers: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,162
UK-based sports teams: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,163
UK-based construction firms: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,164
UK-based private healthcare providers: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,165
UK-based television channels: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,166
UK-based technology companies: Do you think it is acceptable or unacceptable for foreign governments to invest in each of the following?,167
SUMMARY - (Sum: Concerned): To what extent would you be concerned or unconcerned about each of the following owning a newspaper that operates exclusively in the UK?,168
A wealthy individual who owns newspapers in other countries: To what extent would you be concerned or unconcerned about each of the following owning a newspaper that operates exclusively in the UK?,169
A British individual who already owns a British newspaper: To what extent would you be concerned or unconcerned about each of the following owning a newspaper that operates exclusively in the UK?,170
A fund with significant investment from a Middle Eastern government: To what extent would you be concerned or unconcerned about each of the following owning a newspaper that operates exclusively in the UK?,171
In which of the following ways do you identify?,172
What is the nearest city to where you live?,173
Which of the following best describes the profession of the chief income earner in your household?,174
Which of the following best describes the previous occupation of the chief income earner in your household before retirement?,175
Which of the following best describes the profession of the chief income earner in your household? Including previous occupation,176
SEG - set from Occupation question,177
How would you describe your ethnic origin?,178
"Have you ever been a victim of fraud? (Please note, this could be any type of fraud - such as text scams, romance fraud, cold calling, identity theft, investment fraud, etc.)",179
Did you lose any money when you were a victim of fraud?,180
What type of fraud were you a victim of?,181
"You said that you lost money as a result of being a victim of fraud. Which of the following statements, if any, apply to your experience of being a victim of fraud?",182
"Reflecting on your experience(s) of being defrauded, how did you feel immediately after the incident (i.e., at the time you lost your money, or discovered the person you had been speaking with was not who they said they were)?",183
"Your sleep: What impact, if any, did your experience of being defrauded have on the following:",184
"Your personal relationships: What impact, if any, did your experience of being defrauded have on the following:",185
"Your ability to work: What impact, if any, did your experience of being defrauded have on the following:",186
"Your mood: What impact, if any, did your experience of being defrauded have on the following:",187
"What impact, if any, did your experience of being defrauded have on the following: SUMMARY",188
"Roughly, how long do you estimate that your sleep was impacted for, after you lost money from fraud? If you can't remember, please give your best guess.",189
"Which of the following reasons, if any, do you think explain why being defrauded impacted your sleep?",190
"Since losing money, have you experienced any changes in your physical health that you feel could be a result of being a victim of fraud? Examples may include increased blood pressure or weight gain as a result of prolonged stress caused by the incident.",191
What changes have you experienced in your physical health since being a victim of fraud?,192
"I have struggled with alcohol misuse since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",193
"I have struggled with drug/illegal substances misuse since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",194
"I have struggled with self-care since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",195
"I trust people less since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",196
"I trust my gut instinct more since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",197
"I am warier of strangers since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",198
"I feel more confident in my ability to spot fraud since being a victim: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",199
"Being a victim of fraud has made me more mindful of how I spend my money: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?",200
"Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements? SUMMARY",201
To what extent do you agree or disagree with the following statement: 'Being a victim of fraud has had a negative impact on my mental health'?,202
"In what way(s) has being a victim of fraud impacted your mental health? If fraudsters have stolen money from you on more than one occasion, please consider how, collectively, being defrauded has had a negative impact on your mental health.",203
Have you ever sought professional help about the way(s) fraud has impacted your mental health?,204
SUMMARY - (Sum: Well): To what extent do you think that the government is handling each of the following policy areas well or badly?,205
SUMMARY - (Sum: Badly): To what extent do you think that the government is handling each of the following policy areas well or badly?,206
The economy:  To what extent do you think that the government is handling each of the following policy areas well or badly?,207
Inflation and the cost of living:  To what extent do you think that the government is handling each of the following policy areas well or badly?,208
Immigration:  To what extent do you think that the government is handling each of the following policy areas well or badly?,209
The NHS:  To what extent do you think that the government is handling each of the following policy areas well or badly?,210
Housing:  To what extent do you think that the government is handling each of the following policy areas well or badly?,211
Crime:  To what extent do you think that the government is handling each of the following policy areas well or badly?,212
The environment and climate change:  To what extent do you think that the government is handling each of the following policy areas well or badly?,213
Taxation:  To what extent do you think that the government is handling each of the following policy areas well or badly?,214
Pensions:  To what extent do you think that the government is handling each of the following policy areas well or badly?,215
Transport:  To what extent do you think that the government is handling each of the following policy areas well or badly?,216
Education:  To what extent do you think that the government is handling each of the following policy areas well or badly?,217
Britain's relationship with the EU:  To what extent do you think that the government is handling each of the following policy areas well or badly?,218
Defence:  To what extent do you think that the government is handling each of the following policy areas well or badly?,219
SUMMARY - (Conservative Party): Which of the following political parties do you think is best placed to manage each of the following issues?,220
SUMMARY - (Labour Party): Which of the following political parties do you think is best placed to manage each of the following issues?,221
The economy: Which of the following political parties do you think is best placed to manage each of the following issues?,222
Inflation and the cost of living: Which of the following political parties do you think is best placed to manage each of the following issues?,223
Immigration: Which of the following political parties do you think is best placed to manage each of the following issues?,224
The NHS: Which of the following political parties do you think is best placed to manage each of the following issues?,225
Housing: Which of the following political parties do you think is best placed to manage each of the following issues?,226
Crime: Which of the following political parties do you think is best placed to manage each of the following issues?,227
The environment and climate change: Which of the following political parties do you think is best placed to manage each of the following issues?,228
Taxation: Which of the following political parties do you think is best placed to manage each of the following issues?,229
Pensions: Which of the following political parties do you think is best placed to manage each of the following issues?,230
Transport: Which of the following political parties do you think is best placed to manage each of the following issues?,231
Education: Which of the following political parties do you think is best placed to manage each of the following issues?,232
Britain's relationship with the EU: Which of the following political parties do you think is best placed to manage each of the following issues?,233
Defence: Which of the following political parties do you think is best placed to manage each of the following issues?,234
SUMMARY - (Sum: Well): To what extent would you say that each of the following pledges from the government in YYYY have gone well or badly?,235
SUMMARY - (Sum: Badly): To what extent would you say that each of the following pledges from the government in YYYY have gone well or badly?,236
Halve inflation: To what extent would you say that each of the following pledges from the government in YYYY have gone well or badly?,237
Grow the economy: To what extent would you say that each of the following pledges from the government in YYYY have gone well or badly?,238
Get debt falling: To what extent would you say that each of the following pledges from the government in YYYY have gone well or badly?,239
Cut NHS waiting lists: To what extent would you say that each of the following pledges from the government in YYYY have gone well or badly?,240
Stop the boats: To what extent would you say that each of the following pledges from the government in YYYY have gone well or badly?,241
Halve inflation: Which of the following political parties do you think is best placed to manage each of the following issues?,242
Grow the economy: Which of the following political parties do you think is best placed to manage each of the following issues?,243
Get debt falling: Which of the following political parties do you think is best placed to manage each of the following issues?,244
Cut NHS waiting lists: Which of the following political parties do you think is best placed to manage each of the following issues?,245
Stop the boats: Which of the following political parties do you think is best placed to manage each of the following issues?,246
"The government has agreed a deal whereby some people who have entered Britain and applied for asylum will be flown to Rwanda, in Africa, for their applications to be processed. If their application is successful, they would be given long-term accommodation in Rwanda. To what extent do you support or oppose this?",247
Which of the following phrases do you think best describes the government's policy to deport asylum seekers who arrive in the UK by small boat across the Channel to the African country of Rwanda?,248
"To what extent do you think the threat of deportation to Rwanda will reduce or increase the numbers of migrants seeking to cross the Channel in small boats, or will it make no difference?",249
"To what extent would you say that you are sure, or unsure, whether flights to Rwanda to deport asylum seekers from the UK will take off?",250
Which of the following statements is closest to your view?,251
Which of the following is closest to your view?,252
Which of the following statements best describes your view?,253
"Thinking about society overall, which of the following statements best describes your view?",254
"SUMMARY - (NET: Ever): When, if ever, have you experienced each of the following in public?",255
"SUMMARY - (NET: In the last year / more than a year ago): When, if ever, have you experienced each of the following in public?",256
"Being cat-called or wolf-whistled: When, if ever, have you experienced each of the following in public?",257
"Being stared at: When, if ever, have you experienced each of the following in public?",258
"Unwelcome touching, body rubbing or groping: When, if ever, have you experienced each of the following in public?",259
"In-person indecent comments or jokes: When, if ever, have you experienced each of the following in public?",260
"Unwelcome sexual advances or requests for sexual favours: When, if ever, have you experienced each of the following in public?",261
"Being physically followed: When, if ever, have you experienced each of the following in public?",262
"Indecent exposure: When, if ever, have you experienced each of the following in public?",263
"Online indecent comments or jokes: When, if ever, have you experienced each of the following in public?",264
"Sharing of suggestive or indecent content online or in-person: When, if ever, have you experienced each of the following in public?",265
"Being forced into participating in sexual behaviour: When, if ever, have you experienced each of the following in public?",266
"Had images taken and/or shared without your consent: When, if ever, have you experienced each of the following in public?",267
"Other form of sexual harassment: When, if ever, have you experienced each of the following in public?",268
"SUMMARY - (NET: Satisfied): Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?",269
"SUMMARY - (NET: Dissatisfied): Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?",270
"You said that you experienced Being cat-called or wolf-whistled in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?",271
"You said that you experienced Being stared at in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?",272
"You said that you experienced Unwelcome touching, body rubbing or groping in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?",273
"You said that you experienced In-person indecent comments or jokes in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?",274
"You said that you experienced Unwelcome sexual advances or requests for sexual favours in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?",275
"You said that you experienced Being physically followed in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?",276
"You said that you experienced Indecent exposure in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?",277
"You said that you experienced Online indecent comments or jokes in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?",278
"You said that you experienced Sharing of suggestive or indecent content online or in-person in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?",279
"You said that you experienced Being forced into participating in sexual behaviour in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?",280
"You said that you experienced Had images taken and/or shared without your consent in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?",281
"You said that you experienced Other form of sexual harassment in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?",282
"SUMMARY - (NET: Ever): To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?",283
"SUMMARY - (NET: In the last year / more than a year ago): To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?",284
"Being cat-called or wolf-whistled: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?",285
"Being stared at: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?",286
"Unwelcome touching, body rubbing or groping: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?",287
"In-person indecent comments or jokes: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?",288
"Unwelcome sexual advances or requests for sexual favours: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?",289
"Being physically followed: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?",290
"Indecent exposure: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?",291
"Online indecent comments or jokes: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?",292
"Sharing of suggestive or indecent content online or in-person: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?",293
"Being forced into participating in sexual behaviour: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?",294
"Had images taken and/or shared without your consent: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?",295
"Other form of sexual harassment: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?",296
To what extent do you have trust in the police's ability to keep women safe in public?,297
"Which of the following experiences, if any, have happened to you at your current work place?",298
"SUMMARY - (NET: Always/often): How often, if at all, do you do each of the following chores in your household?",299
"SUMMARY - (NET: Rarely/never): How often, if at all, do you do each of the following chores in your household?",300
"Prepare meals for yourself or others: How often, if at all, do you do each of the following chores in your household?",301
"Clean areas of your home (e.g. sweeping, dusting, vacuuming etc.): How often, if at all, do you do each of the following chores in your household?",302
"Do the laundry for yourself or others (e.g. wash, dry, iron clothes etc.): How often, if at all, do you do each of the following chores in your household?",303
"Do the grocery shopping for yourself or others: How often, if at all, do you do each of the following chores in your household?",304
"Perform home maintenance tasks (e.g. fixing items, gardening, painting etc.): How often, if at all, do you do each of the following chores in your household?",305
"Manage household finances (e.g. pay bills, budgeting etc.): How often, if at all, do you do each of the following chores in your household?",306
"Provide childcare for children (e.g. feeding, bathing, helping with homework, driving to activities etc.): How often, if at all, do you do each of the following chores in your household?",307
"Provide care for elderly or disabled family members (e.g. helping with medications, personal care, doctors' appointments etc.): How often, if at all, do you do each of the following chores in your household?",308
Which of the following best describes your view?,309
"Have you experienced any content, comments, videos, or images online in the last 12 months that...",310
"SUMMARY - (NET: Favourable): To what extent, if at all, do you have a favourable or unfavourable view of the following people?",311
"SUMMARY - (NET: Unfavourable): To what extent, if at all, do you have a favourable or unfavourable view of the following people?",312
"Andrew Tate: To what extent, if at all, do you have a favourable or unfavourable view of the following people?",313
"Elon Musk: To what extent, if at all, do you have a favourable or unfavourable view of the following people?",314
"Donald Trump: To what extent, if at all, do you have a favourable or unfavourable view of the following people?",315
"Greta Thunberg: To what extent, if at all, do you have a favourable or unfavourable view of the following people?",316
"Barack Obama: To what extent, if at all, do you have a favourable or unfavourable view of the following people?",317
"Taylor Swift: To what extent, if at all, do you have a favourable or unfavourable view of the following people?",318
SUMMARY - (Rank 1): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,319
SUMMARY - (Rank 1-3): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,320
SUMMARY - (Rank 1-5): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,321
Gender recognition and the rights of transgender people: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,322
The economy: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,323
Inflation and the cost of living: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,324
Immigration: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,325
The NHS: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,326
Housing: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,327
Crime: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,328
The environment and climate change: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,329
Taxation: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,330
Pensions: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,331
Transport: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,332
Education: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,333
Britain's relationship with the EU: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,334
The war in Ukraine: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,335
Social care: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,336
Poverty/inequality: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?,337
What is your annual salary before tax and deductions?,338
What is your current level of seniority at your workplace?,339
Which of the following would best describe your political leaning?,340
